mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0				
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1				
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	2				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	3				
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	4				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	5				
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	3		
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	6				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	3		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	7				
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	8				
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	9				
3	3	12	12	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	8		
3	3	14	14	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	4		
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	3		
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	10				
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	3		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	11				
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	9		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	12				
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1	8		
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	13				
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0					1	5__	4	
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	14				
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0					1		3__	
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	15				
5	5	20	20	0.0	1	1	FiguredBass	4/4	2	1	0					1		3__	
5	5	24	24	0.0	2	2	FiguredBass	4/4	2	1	0					1	_	_	
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	16				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	18				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	19				
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	20				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21				
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	22				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	23				
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4	
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	24				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25				
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7		
