mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0						
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	b7			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1						
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3						
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	8			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4						
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	b7			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5						
2	2	8	8	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	b7			
2	2	10	10	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	3	5		
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7						
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	b			
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9						
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7			
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	10						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	7			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11						
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	12						
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	13						
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5			
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	14						
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	15						
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0					1	6			
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	16						
5	5	20	20	0.0	1	1	FiguredBass	4/4	2	1	0					1	5			
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4h	2		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	17						
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	18						
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	6	5		
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	19						
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	20						0
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	21						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9			
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	22						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	23						
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	8			
7	7	30	30	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	4			
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	3			
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	24						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	3			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5		
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	26						
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7			
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	27						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	7			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	28						
8	8	32	32	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	8			
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	29						
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	30						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4		
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31						
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32						
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	4	b		
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	33						1
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	34						
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	35						2
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	36						
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6__			
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	37						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5	2		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	38						
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_			
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	39						
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6			
11	11	41	41	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	40						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	41						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	42						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	43						
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44						3
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	45						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	46						4
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1	4			
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	48						
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0					1	3			
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	49						
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0					1	3			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	50						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	51						
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	6	5b		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	52						
14	14	54	54	0.0	1/2	1/2	StaffText	4/4	2	1	0				"<font size=""11.9962""/>/"					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	53						5
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	54						
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	55						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	56						
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	57						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58						
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6h	4	3	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	59						
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5	h		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	60						
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	61						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	62						6
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	63						
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5b		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1	1	1	64						
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	8			
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	65						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	8			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	66						
17	17	68	68	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	9			
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	4		
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1	1	1	67						
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0					1	5	3		
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1	1	1	68						
18	18	72	72	0.0	1	1	FiguredBass	4/4	2	1	0					1	5	3		
