mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1				
1	1	0	0	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	2				
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	3	d			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	4				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	5				
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	6				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	7				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	8				
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7	#
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	9				
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	10				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	11				
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	12				
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	13				
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	14				
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							6	
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							6	
5	5	18	18	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	15				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	16				
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	17				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18				
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19				
6	6	22	22	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	20				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	22				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	23				
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	24				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25				
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	26				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	27				
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	28				
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	7	
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	29				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	7	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	30				
8	8	32	32	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	8	
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	31				
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	32				
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	5
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	33				
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	34				
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	35				
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	36				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37				
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	38				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39				
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	40				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	#3	8
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	41				
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	h7	
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	42				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	43				
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1	h	
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	44				
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	45				
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	46				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	47				
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1		1	1	48				
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4	2
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	49				
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	50				
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	51				
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	52				
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	5
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	53				
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	8	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	54				
16	16	60	60	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	7	
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	55				
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	7	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	56				
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	57				
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	58				
