mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/4	6			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	0						0
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	1	1	0						1/4	6			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	1						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	2						1
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	3						
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	4						
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	5						
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	6						2
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	7						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	8						3
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	9						3
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	10						
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	11						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	12						
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	4	2		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	13						
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	4	2		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	14						
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	15						
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	16						
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	17						
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	9			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	18						
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	8			
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	19						
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	8			
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	20						
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	6	5		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	21						
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0						1	5__	4		
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	22						
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0						1		#__		
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	23						
5	5	20	20	0.0	1	1	FiguredBass	4/4	2	1	0						1		#__		
5	5	24	24	0.0	2	2	FiguredBass	4/4	2	1	0						1	_	_		
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	3	5		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24						
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	25						4
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	26						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	5		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	27						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	3		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	28						
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	29						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	30						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	3		
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	31						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	32						
8	8	32	32	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	4			
8	8	34	34	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	5	h3		
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	33						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	34						5
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	35						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	36						
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	7			
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	37						
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	#3	8		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	38						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	39						
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	40						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	41						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	42						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	43						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	h		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	44						
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	45						6
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	46						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	47						
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	48						
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	49						
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	50						
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51						
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	52						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	53						
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	54						
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	55						7
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	56						
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1	4			
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	57						
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0						1	3			
