mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0						
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5	3	
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	1						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	2						
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6	5	
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	3						
2	2	5	5	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	4	dd					
2	2	6	6	0.0	1/2	1/2	StaffText	4/4	2	1	0						"<font size=""11.9962""/>/"				
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	5						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	6						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	7						
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	8						
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	9	dd					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	10						
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	11						
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0							1	8__	4__	
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	12						
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0							1		_	
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	13						
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0							1		3__	
4	4	20	20	0.0	2	2	FiguredBass	4/4	2	1	0							1	_		
4	4	24	24	0.0	3	3	FiguredBass	4/4	2	1	0							1	7		
4	4	28	28	0.0	4	4	FiguredBass	4/4	2	1	0							1		_	
