mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0			
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3			
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4			
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	5			
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8			
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9			
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	10			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	4	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11			
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	3	
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	12			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	13			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	15			
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	5	
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16			
3	3	17/2	17/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	6	
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	17			
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18			
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19			
3	3	23/2	23/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7	
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	20			
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1	1	1	21			
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	22			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	23			
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24			
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	25			
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26			
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	27			
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	28			
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	29			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	30			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31			
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	32			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33			
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	34			
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35			
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	36			
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	37			
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	h	
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	38			
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	39			
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	3	
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	40			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	41			
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	42			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	43			
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	#
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	44			
7	7	55/2	55/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7	
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1	1	1	45			
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0				1	#	
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1	1	1	46			
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	47			
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	48			
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	49			
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	50			
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	51			
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	52			
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	53			
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\	
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	54			
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	55			
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	56			
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	57			
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0				3/8	5	
10	10	36	36	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	58			
10	10	75/2	75/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	6	
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	59			
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	60			
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	61			
