mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	0	4/4	1	0					firstMeasure	2
2	2	4	4.0	0	4/4	1	0						3
3	3	8	4.0	0	4/4	1	0						4
4	4	12	4.0	0	4/4	1	0						5
5	5	16	4.0	0	4/4	1	0						6
6	6	20	4.0	0	4/4	1	0						7
7	7	24	4.0	0	4/4	1	0						8
8	8	28	4.0	0	4/4	1	0						9
9	9	32	4.0	0	4/4	1	0						10
10	10	36	4.0	0	4/4	1	0						11
11	11	40	4.0	0	4/4	1	0						12
12	12	44	4.0	0	4/4	1	0						13
13	13	48	4.0	0	4/4	1	0						14
14	14	52	4.0	0	4/4	1	0						15
15	15	56	4.0	0	4/4	1	0						16
16	16	60	4.0	0	4/4	1	0						17
17	17	64	4.0	0	4/4	1	0						18
18	18	68	4.0	0	4/4	1	0						19
19	19	72	4.0	0	4/4	1	0						20
20	20	76	4.0	0	4/4	1	0						21
21	21	80	4.0	0	4/4	1	0						22
22	22	84	1.0	0	4/4	1/4	0						23
23	23	85	3.0	0	4/4	3/4	1/4					start	24
24	24	88	4.0	0	4/4	1	0						25
25	25	92	4.0	0	4/4	1	0						26
26	26	96	4.0	0	4/4	1	0						27
27	27	100	1.0	0	4/4	1/4	0					end	23, 28
28	28	101	3.0	0	4/4	3/4	1/4					start	29
29	29	104	4.0	0	4/4	1	0						30
30	30	108	4.0	0	4/4	1	0						31
31	31	112	4.0	0	4/4	1	0						32
32	32	116	1.0	0	4/4	1/4	0					end	28, 33
33	33	117	3.0	0	4/4	3/4	1/4						34
34	34	120	4.0	0	4/4	1	0						35
35	35	124	4.0	0	4/4	1	0						36
36	36	128	4.0	0	4/4	1	0						37
37	37	132	4.0	0	4/4	1	0						38
38	38	136	4.0	0	4/4	1	0						39
39	39	140	4.0	0	4/4	1	0						40
40	40	144	4.0	0	4/4	1	0						41
41	41	148	4.0	0	4/4	1	0						42
42	42	152	4.0	0	4/4	1	0						43
43	43	156	4.0	0	4/4	1	0						44
44	44	160	4.0	0	4/4	1	0						45
45	45	164	4.0	0	4/4	1	0						46
46	46	168	4.0	0	4/4	1	0						47
47	47	172	4.0	0	4/4	1	0						48
48	48	176	4.0	0	4/4	1	0						49
49	49	180	4.0	0	4/4	1	0						50
50	50	184	4.0	0	4/4	1	0						51
51	51	188	4.0	0	4/4	1	0						52
52	52	192	4.0	0	4/4	1	0						53
53	53	196	4.0	0	4/4	1	0						54
54	54	200	4.0	0	4/4	1	0						55
55	55	204	4.0	0	4/4	1	0						56
56	56	208	4.0	0	4/4	1	0						57
57	57	212	4.0	0	4/4	1	0						58
58	58	216	4.0	0	4/4	1	0						59
59	59	220	4.0	0	4/4	1	0						60
60	60	224	4.0	0	4/4	1	0						61
61	61	228	4.0	0	4/4	1	0						62
62	62	232	4.0	0	4/4	1	0						63
63	63	236	4.0	0	4/4	1	0						64
64	64	240	4.0	0	4/4	1	0						65
65	65	244	4.0	0	4/4	1	0						66
66	66	248	4.0	0	4/4	1	0						67
67	67	252	4.0	0	4/4	1	0					lastMeasure	-1
