mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	1	4/4	1	0					firstMeasure	2
2	2	4	4.0	1	4/4	1	0						3
3	3	8	4.0	1	4/4	1	0						4
4	4	12	4.0	1	4/4	1	0						5
5	5	16	4.0	1	4/4	1	0						6
6	6	20	4.0	1	4/4	1	0						7
7	7	24	4.0	1	4/4	1	0						8
8	8	28	4.0	1	4/4	1	0						9
9	9	32	4.0	1	4/4	1	0						10
10	10	36	4.0	1	4/4	1	0						11
11	11	40	4.0	1	4/4	1	0						12
12	12	44	4.0	1	4/4	1	0						13
13	13	48	4.0	1	4/4	1	0						14
14	14	52	4.0	1	4/4	1	0						15
15	15	56	4.0	1	4/4	1	0						16
16	16	60	4.0	1	4/4	1	0						17
17	17	64	4.0	1	4/4	1	0						18
18	18	68	4.0	1	4/4	1	0						19
19	19	72	4.0	1	4/4	1	0						20
20	20	76	4.0	1	4/4	1	0						21
21	21	80	4.0	1	4/4	1	0						22
22	22	84	4.0	1	4/4	1	0						23
23	23	88	4.0	1	4/4	1	0						24
24	24	92	4.0	1	4/4	1	0						25
25	25	96	4.0	1	4/4	1	0						26
26	26	100	4.0	1	4/4	1	0						27
27	27	104	4.0	1	4/4	1	0						28
28	28	108	4.0	1	4/4	1	0						29
29	29	112	4.0	1	4/4	1	0						30
30	30	116	4.0	1	4/4	1	0						31
31	31	120	4.0	1	4/4	1	0						32
32	32	124	4.0	1	4/4	1	0						33
33	33	128	4.0	1	4/4	1	0						34
34	34	132	4.0	1	4/4	1	0						35
35	35	136	11.0	1	4/4	11/4	0						36
36	36	147	15.0	1	4/4	15/4	0						37
37	37	162	9.0	1	4/4	9/4	0						38
38	38	171	11.0	1	4/4	11/4	0						39
39	39	182	12.0	1	4/4	3	0						40
40	40	194	9.0	1	4/4	9/4	0						41
41	41	203	8.0	1	4/4	2	0						42
42	42	211	6.0	1	4/4	3/2	0						43
43	43	217	8.0	1	4/4	2	0						44
44	44	225	9.0	1	4/4	9/4	0						45
45	45	234	9.0	1	4/4	9/4	0						46
46	46	243	7.0	1	4/4	7/4	0						47
47	47	250	11.0	1	4/4	11/4	0						48
48	48	261	8.0	1	4/4	2	0						49
49	49	269	13.0	1	4/4	13/4	0						50
50	50	282	8.0	1	4/4	2	0						51
51	51	290	9.0	1	4/4	9/4	0						52
52	52	299	8.0	1	4/4	2	0						53
53	53	307	9.0	1	4/4	9/4	0						54
54	54	316	8.0	1	4/4	2	0						55
55	55	324	9.0	1	4/4	9/4	0						56
56	56	333	8.0	1	4/4	2	0						57
57	57	341	11.0	1	4/4	11/4	0						58
58	58	352	8.0	1	4/4	2	0						59
59	59	360	7.0	1	4/4	7/4	0						60
60	60	367	8.0	1	4/4	2	0						61
61	61	375	7.0	1	4/4	7/4	0						62
62	62	382	8.0	1	4/4	2	0						63
63	63	390	5.0	1	4/4	5/4	0						64
64	64	395	19.0	1	4/4	19/4	0						65
65	65	414	11.0	1	4/4	11/4	0						66
66	66	425	22.0	1	4/4	11/2	0						67
67	67	447	9.0	1	4/4	9/4	0						68
68	68	456	29.0	1	4/4	29/4	0						69
69	69	485	10.0	1	4/4	5/2	0						70
70	70	495	8.0	1	4/4	2	0						71
71	71	503	16.0	1	4/4	4	0						72
72	72	519	22.0	1	4/4	11/2	0						73
73	73	541	14.0	1	4/4	7/2	0						74
74	74	555	8.0	1	4/4	2	0						75
75	75	563	31.0	1	4/4	31/4	0						76
76	76	594	8.0	1	4/4	2	0						77
77	77	602	16.0	1	4/4	4	0						78
78	78	618	11.0	1	4/4	11/4	0						79
79	79	629	24.0	1	4/4	6	0						80
80	80	653	8.0	1	4/4	2	0						81
81	81	661	4.0	1	4/4	1	0						82
82	82	665	4.0	1	4/4	1	0						83
83	83	669	17.0	1	4/4	17/4	0						84
84	84	686	11.0	1	4/4	11/4	0						85
85	85	697	9.0	1	4/4	9/4	0						86
86	86	706	12.0	1	4/4	3	0						87
87	87	718	17.0	1	4/4	17/4	0						88
88	88	735	19.0	1	4/4	19/4	0						89
89	89	754	9.0	1	4/4	9/4	0						90
90	90	763	7.0	1	4/4	7/4	0						91
91	91	770	6.0	1	4/4	3/2	0						92
92	92	776	7.0	1	4/4	7/4	0						93
93	93	783	9.0	1	4/4	9/4	0						94
94	94	792	7.0	1	4/4	7/4	0						95
95	95	799	21.0	1	4/4	21/4	0						96
96	96	820	8.0	1	4/4	2	0						97
97	97	828	9.0	1	4/4	9/4	0						98
98	98	837	5.0	1	4/4	5/4	0						99
99	99	842	12.0	1	4/4	3	0						100
100	100	854	7.0	1	4/4	7/4	0						101
101	101	861	4.0	1	4/4	1	0						102
102	102	865	6.0	1	4/4	3/2	0						103
103	103	871	6.0	1	4/4	3/2	0						104
104	104	877	8.0	1	4/4	2	0						105
105	105	885	8.0	1	4/4	2	0						106
106	106	893	12.0	1	4/4	3	0						107
107	107	905	9.0	1	4/4	9/4	0						108
108	108	914	7.0	1	4/4	7/4	0						109
109	109	921	13.0	1	4/4	13/4	0						110
110	110	934	14.0	1	4/4	7/2	0						111
111	111	948	9.0	1	4/4	9/4	0						112
112	112	957	9.0	1	4/4	9/4	0						113
113	113	966	8.0	1	4/4	2	0						114
114	114	974	14.0	1	4/4	7/2	0						115
115	115	988	3.0	1	4/4	3/4	0						116
116	116	991	6.0	1	4/4	3/2	0						117
117	117	997	9.0	1	4/4	9/4	0						118
118	118	1006	9.0	1	4/4	9/4	0						119
119	119	1015	8.0	1	4/4	2	0						120
120	120	1023	8.0	1	4/4	2	0						121
121	121	1031	7.0	1	4/4	7/4	0						122
122	122	1038	7.0	1	4/4	7/4	0						123
123	123	1045	8.0	1	4/4	2	0						124
124	124	1053	7.0	1	4/4	7/4	0						125
125	125	1060	7.0	1	4/4	7/4	0						126
126	126	1067	8.0	1	4/4	2	0						127
127	127	1075	7.0	1	4/4	7/4	0						128
128	128	1082	8.0	1	4/4	2	0						129
129	129	1090	4.0	1	4/4	1	0						130
130	130	1094	4.0	1	4/4	1	0						131
131	131	1098	4.0	1	4/4	1	0						132
132	132	1102	4.0	1	4/4	1	0						133
133	133	1106	4.0	1	4/4	1	0						134
134	134	1110	4.0	1	4/4	1	0						135
135	135	1114	4.0	1	4/4	1	0						136
136	136	1118	4.0	1	4/4	1	0						137
137	137	1122	4.0	1	4/4	1	0						138
138	138	1126	4.0	1	4/4	1	0						139
139	139	1130	4.0	1	4/4	1	0					lastMeasure	-1
