piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
01_Chorale_1_Bass_1	1: 4/4	1: 1	17	17	68.0	26	26	104.0	136.0	60	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 1, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/01_Chorale_1_Bass_1.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
02_Chorale_1_Bass_2	1: 4/4	1: 1	17	17	68.0	26	26	104.0	136.0	57	30	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/02_Chorale_1_Bass_2.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
03_Chorale_1_Bass_3	1: 4/4	1: 1	17	17	68.0	26	26	104.0	136.0	57	31	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 3						2025-01-31	Linux					"<font size=""15""/><b>Chorale 1, Bass 3</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/03_Chorale_1_Bass_3.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-59 (D2-B3)
04_Chorale_1_Bass_4	1: 4/4	1: 1	17	17	68.0	26	26	104.0	136.0	57	29	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 4						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/04_Chorale_1_Bass_4.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
05_Chorale_1_Bass_5	1: 4/4	1: 1	17	17	68.0	26	26	104.0	130.0	56	33	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 1, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/05_Chorale_1_Bass_5.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
06_Chorale_1_Bass_6	1: 4/4	1: 1	17	17	68.0	26	26	104.0	136.0	65	36	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/06_Chorale_1_Bass_6.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
07_Chorale_1_Bass_7	1: 4/4	1: 1	17	17	68.0	26	26	104.0	134.0	79	52	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 7						2025-01-31	Linux					"<font size=""15""/><b>Chorale 1, Bass 7</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/07_Chorale_1_Bass_7.mscx	False	36-74 (C2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	36-55 (C2-G3)
08_Chorale_1_Bass_8	1: 4/4	1: 1	17	17	68.0	26	26	104.0	133.0	77	52	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 1, Bass 8						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/08_Chorale_1_Bass_8.mscx	False	38-74 (D2-D5)	mxl	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
09_Chorale_2_Bass_1	1: 4/4	1: 1	27	27	108.0	38	38	152.0	196.0	94	50	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 2, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 2, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/09_Chorale_2_Bass_1.mscx	False	38-74 (D2-D5)	mxl	Piano	64-74 (E4-D5)	Piano	38-55 (D2-G3)
100_Chorale_13_Bass_4	1: 4/4	1: 1	23	23	92.0	23	23	92.0	160.0	77	43	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 4						2025-01-31	Linux					"<font size=""15""/><b>Chorale 13, Bass 4</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/100_Chorale_13_Bass_4.mscx	False	38-76 (D2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	38-62 (D2-D4)
101_Chorale_13_Bass_5	1: 4/4	1: 1	23	23	92.0	23	23	92.0	160.0	77	42	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 13, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/101_Chorale_13_Bass_5.mscx	False	42-76 (F#2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	42-60 (F#2-C4)
102_Chorale_13_Bass_6	1: 4/4	1: 1	23	23	92.0	23	23	92.0	164.0	83	46	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/102_Chorale_13_Bass_6.mscx	False	43-76 (G2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	43-59 (G2-B3)
103_Chorale_13_Bass_7	1: 4/4	1: 1	23	23	92.0	23	23	92.0	164.0	77	41	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 7						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/103_Chorale_13_Bass_7.mscx	False	43-76 (G2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	43-59 (G2-B3)
104_Chorale_13_Bass_8	1: 4/4	1: 1	23	23	92.0	23	23	92.0	160.0	81	46	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 13, Bass 8						2025-01-31	Linux					"<font size=""15""/><b>Chorale 13, Bass 8</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/104_Chorale_13_Bass_8.mscx	False	43-76 (G2-E5)	mxl	Piano	67-76 (G4-E5)	Piano	43-58 (G2-Bb3)
105_Chorale_14_Bass_1	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	84	42	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 14, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/105_Chorale_14_Bass_1.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-60 (C2-C4)
