mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		3	45	A2	2	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	0
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	2
2	2	4	4	1.0	0	0	4/4	2	1	1/4		1/4	1		7	49	C#3	3	5
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	3
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		5	47	B2	2	6
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		7	49	C#3	3	7
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		9	51	D#3	3	8
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	4
2	2	7	7	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		7	49	C#3	3	9
2	2	15/2	15/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		9	51	D#3	3	10
3	3	8	8	1.0	0	0	4/4	2	1	1/4		1/4	1		4	52	E3	3	13
3	3	8	8	2.0	0	0	4/4	1	1	1/2		1/2	1		8	68	G#4	4	11
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		2	50	D3	3	14
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		7	49	C#3	3	15
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	12
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	16
4	4	12	12	0.0	0	0	4/4	1	1	0	grace4	1/4	1		8	68	G#4	4	17
4	4	12	12	1.0	0	0	4/4	2	1	1/4		1/4	1		10	46	A#2	2	20
4	4	12	12	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	18
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		6	42	F#2	2	21
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	47	B2	2	22
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		6	66	F#4	4	19
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		3	45	A2	2	23
5	5	16	16	4.0	0	0	4/4	2	1	1		1	1		8	44	G#2	2	25
5	5	16	16	4.0	0	0	4/4	1	1	1		1	1		4	64	E4	4	24
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	4	52	E3	3	27
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	26
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	4	52	E3	3	30
7	7	24	24	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	28
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	31
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	29
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		6	54	F#3	3	35
8	8	28	28	1.0	0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4	32
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	33
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	36
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	34
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		9	51	D#3	3	37
9	9	32	32	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	39
9	9	32	32	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	38
10	10	36	36	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	41
10	10	36	36	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	40
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	57	A3	3	43
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	42
12	12	44	44	1.0	0	0	4/4	2	1	1/4		1/4	1		8	56	G#3	3	46
12	12	44	44	2.0	0	0	4/4	1	1	1/2		1/2	1		5	71	B4	4	44
12	12	45	45	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		6	54	F#3	3	47
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	48
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	49
