mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	1
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	0
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		6	42	F#2	2	4
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	2
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	49	C#3	3	5
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	3
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	8
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	6
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	9
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	7
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		6	54	F#3	3	12
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	10
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	13
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	11
5	5	16	16	4.0	0	0	4/4	2	1	1	1	1		7	49	C#3	3	15
5	5	16	16	4.0	0	0	4/4	1	1	1	1	1		7	73	C#5	5	14
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	47	B2	2	17
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	16
7	7	24	24	2.0	0	0	4/4	2	1	1/2	1/2	1		10	46	A#2	2	20
7	7	24	24	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	18
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	21
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	19
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	24
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	22
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	49	C#3	3	25
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	23
9	9	32	32	2.0	0	0	4/4	2	1	1/2	1/2	1		5	47	B2	2	28
9	9	32	32	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	26
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	29
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	27
10	10	36	36	4.0	0	0	4/4	2	1	1	1	1		4	52	E3	3	31
10	10	36	36	4.0	0	0	4/4	1	1	1	1	1		5	71	B4	4	30
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	6	54	F#3	3	33
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	32
12	12	44	44	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	6	54	F#3	3	36
12	12	44	44	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	34
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	37
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	35
13	13	48	48	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	40
13	13	48	48	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	38
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	7	49	C#3	3	41
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	39
14	14	52	52	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	7	49	C#3	3	44
14	14	52	52	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	42
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	47	B2	2	45
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	43
15	15	56	56	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	47
15	15	56	56	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	46
16	16	62	62	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	44	G#2	2	49
16	16	62	62	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	48
17	17	64	64	2.0	0	0	4/4	2	1	1/2	1/2	1		3	45	A2	2	52
17	17	64	64	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	50
17	17	66	66	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	49	C#3	3	53
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	51
17	17	67	67	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	54
18	18	68	68	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	58
18	18	68	68	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	55
18	18	69	69	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	56
18	18	70	70	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	59
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	57
18	18	71	71	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	60
19	19	72	72	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	63
19	19	72	72	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	61
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	40	E2	2	64
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	62
20	20	76	76	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	66
20	20	76	76	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	65
