mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	0
1	1	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	47	B2	2	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		9	63	D#4	4	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	6
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	7
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	42	F#2	2	8
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		4	40	E2	2	13
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	9
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	14
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	10
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	11
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	15
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	12
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	16
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		4	40	E2	2	20
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	17
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	21
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	18
3	3	11	11	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	47	B2	2	22
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	19
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	23
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	28
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	24
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	42	F#2	2	29
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	25
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	40	E2	2	30
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	26
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	31
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	27
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		5	47	B2	2	33
5	5	16	16	4.0	0	0	4/4	1	1	1	1	1		5	71	B4	4	32
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	38
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	34
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	39
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	35
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	40
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	36
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	41
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	37
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	45
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	42
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	46
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	43
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	48	C3	3	47
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	44
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	48
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	52
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	49
8	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	49	C#3	3	53
8	8	30	30	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	50
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	54
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	51
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	59
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	55
9	9	33	33	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		0	48	C3	3	60
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	56
9	9	67/2	67/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	47	B2	2	61
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	62
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	57
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	63
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	58
10	10	36	36	2.0	0	0	4/4	2	1	1/2	1/2	1		5	47	B2	2	66
10	10	36	36	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	64
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	40	E2	2	67
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	65
