mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	0
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		7	49	C#3	3	6
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	7
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	3
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	8
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	4
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	9
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	5
3	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	15
3	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	10
3	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	49	C#3	3	16
3	3	6	6	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	11
3	3	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	12
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	17
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	13
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	18
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	14
4	4	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		4	40	E2	2	23
4	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	19
4	4	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	24
4	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	20
4	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		8	56	G#3	3	25
4	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	21
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		9	51	D#3	3	26
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	22
5	5	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	32
5	5	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	27
5	5	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	33
5	5	14	14	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	28
5	5	29/2	29/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	29
5	5	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	34
5	5	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	30
5	5	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	35
5	5	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	31
6	6	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		4	40	E2	2	40
6	6	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	36
6	6	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	41
6	6	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	37
6	6	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	51	D#3	3	42
6	6	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	38
6	6	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	43
6	6	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	39
7	7	21	21	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	52
7	7	21	21	0.5	0	0	4/4	1	1	1/8	1/8	1		8	68	G#4	4	44
7	7	43/2	43/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	45
7	7	22	22	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	46
7	7	45/2	45/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	47
7	7	23	23	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	50	D3	3	53
7	7	23	23	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		8	68	G#4	4	48
7	7	47/2	47/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	49	C#3	3	54
7	7	47/2	47/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	49
7	7	24	24	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	47	B2	2	55
7	7	24	24	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	50
7	7	49/2	49/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	56
7	7	49/2	49/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	51
