mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	2
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	1
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	6
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	4
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	G2	2	7
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	5
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		3	45	A2	2	10
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	8
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	11
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	9
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		3	45	A2	2	14
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	12
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	15
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	13
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	18
5	5	16	16	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	16
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	56	G#3	3	19
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	17
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	22
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	20
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	23
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	21
7	7	24	24	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	25
7	7	24	24	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	24
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	28
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	26
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	29
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	27
9	9	32	32	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	32
9	9	32	32	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	30
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	56	G#3	3	33
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	31
10	10	36	36	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	36
10	10	36	36	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	34
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	37
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	35
11	11	40	40	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	40
11	11	40	40	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	38
11	11	42	42	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	41
11	11	42	42	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	39
12	12	44	44	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	44
12	12	44	44	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	42
12	12	46	46	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	45
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	43
13	13	48	48	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	48
13	13	48	48	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	46
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	40	E2	2	49
13	13	50	50	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	47
14	14	52	52	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	51
14	14	52	52	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	50
15	15	56	56	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	54
15	15	56	56	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	52
15	15	58	58	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	55
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	53
16	16	60	60	4.0	0	0	4/4	2	1	1	1	1		2	50	D3	3	57
16	16	60	60	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	56
17	17	64	64	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	60
17	17	64	64	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	58
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	61
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	59
18	18	68	68	4.0	0	0	4/4	2	1	1	1	1		1	55	G3	3	63
18	18	68	68	4.0	0	0	4/4	1	1	1	1	1		5	71	B4	4	62
19	19	72	72	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	66
19	19	72	72	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	64
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	67
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	65
20	20	76	76	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	70
20	20	76	76	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	68
20	20	78	78	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	71
20	20	78	78	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	69
21	21	80	80	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	74
21	21	80	80	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	72
21	21	82	82	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	75
21	21	82	82	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	73
22	22	84	84	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	77
22	22	84	84	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	76
23	23	88	88	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	80
23	23	88	88	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	78
23	23	90	90	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	47	B2	2	81
23	23	90	90	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	79
24	24	92	92	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	83
24	24	92	92	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	82
25	25	96	96	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	86
25	25	96	96	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	84
25	25	98	98	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	87
25	25	98	98	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	85
26	26	100	100	4.0	0	0	4/4	2	1	1	1	1		1	55	G3	3	89
26	26	100	100	4.0	0	0	4/4	1	1	1	1	1		5	71	B4	4	88
27	27	104	104	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	92
27	27	104	104	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	90
27	27	106	106	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	47	B2	2	93
27	27	106	106	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	91
28	28	108	108	2.0	0	0	4/4	2	1	1/2	1/2	1		0	48	C3	3	96
28	28	108	108	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	94
28	28	110	110	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	97
28	28	110	110	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	95
29	29	112	112	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	100
29	29	112	112	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	98
29	29	114	114	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	52	E3	3	101
29	29	114	114	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	99
30	30	116	116	4.0	0	0	4/4	2	1	1	1	1		3	45	A2	2	103
30	30	116	116	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	102
31	31	120	120	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3	106
31	31	120	120	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	104
31	31	122	122	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	107
31	31	122	122	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	105
