mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	12
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	13
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	9
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	14
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	10
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	15
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	11
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	20
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	16
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	21
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	17
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	22
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	18
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	40	E2	2	23
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	19
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		3	45	A2	2	27
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	24
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	28
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	25
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	29
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	26
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	34
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	30
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	35
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	31
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	36
5	5	18	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	32
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	37
5	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	33
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	42
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	38
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	43
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	39
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	44
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	40
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	45
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	41
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	49
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	46
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	50
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	47
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	51
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	48
8	8	28	28	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	55
8	8	28	28	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	52
8	8	29	29	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	56
8	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	53
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	57
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	54
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	61
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	58
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	62
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	59
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	63
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	60
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	68
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	64
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	69
